Contig name,Number of restriction sites ,Contig length,Contig coverage,Hi-C contacts mapped to the same contigs,True identity
k141_11723,44,74652,84.7183,16523,mikatae
k141_13528,0,2610,108.715,715,kluyveri
k141_13529,0,1007,10.7048,53,kudriavzevii
k141_4738,1,5991,261.828,2858,cerevisiae
k141_13530,0,1435,14.9969,18,kudriavzevii
k141_4741,0,1422,1420.3,13006,Unmapped
k141_13534,2,1330,9.7678,57,kudriavzevii
k141_4743,1,1068,58.3943,87,paradoxus
k141_229,28,56888,276.855,42128,cerevisiae
k141_11740,0,1492,287.044,655,mikatae
k141_1070,10,13548,339.725,7405,mikatae
k141_7297,1,2044,449.235,1016,cerevisiae
k141_7299,1,2157,93.4136,367,mikatae
k141_5574,16,23715,80.0774,3159,uvarum
k141_4746,4,9705,449.61,10347,cerevisiae
k141_8239,111,210084,91.7674,53772,castellii
k141_3790,6,16196,57.8191,2261,paradoxus
k141_1080,1,6000,59.694,623,paradoxus
k141_6353,40,76830,76.5846,15969,mikatae
k141_4751,1,2249,11.272,57,kudriavzevii
k141_11741,8,18565,81.3952,3222,uvarum
k141_4753,3,3316,51.5224,370,paradoxus
k141_11742,1,2151,12.8001,22,kudriavzevii
k141_6359,9,12944,61.1839,2845,paradoxus
k141_6363,1,1231,35.4579,32,kudriavzevii
k141_2836,105,223105,48.3907,4763,gossypii
k141_9045,68,93408,85.44,20773,stipitis
k141_9933,20,37734,56.5411,6272,paradoxus
k141_2837,2,6985,133.843,4419,kluyveri
k141_2840,2,2893,10.7718,141,kudriavzevii
k141_12639,69,138161,74.9188,21593,wickerhamii
k141_3792,21,26360,79.804,4074,uvarum
k141_230,23,36519,83.5045,4823,uvarum
k141_3797,0,1480,13.7015,26,kudriavzevii
k141_3798,0,1103,141.932,115,waltii
k141_4756,19,31310,322.105,20912,cerevisiae
k141_3807,2,5413,52.3773,645,paradoxus
k141_11744,15,25575,53.9194,4957,paradoxus
k141_13536,30,52860,79.0778,11190,mikatae
k141_12641,7,10082,59.9582,1586,paradoxus
k141_5585,24,33966,73.5611,5073,uvarum
k141_9047,19,30663,79.5201,5646,mikatae
k141_9050,1,1190,95.9558,149,uvarum
k141_9936,15,32814,54.2227,686,gossypii
k141_5592,3,6716,53.2845,1313,paradoxus
k141_12643,3,10446,86.0018,2266,mikatae
k141_9937,2,2066,197.671,599,cerevisiae
k141_9051,1,4104,71.2643,962,paradoxus
k141_5599,1,1667,12.3916,43,kudriavzevii
k141_5601,4,2686,63.1278,697,paradoxus
k141_9053,3,5427,55.7464,869,paradoxus
k141_2011,64,80326,91.4827,19808,stipitis
k141_11745,5,11062,58.842,1955,paradoxus
k141_231,12,24019,278.937,16048,cerevisiae
k141_13543,3,6238,55.6193,1025,paradoxus
k141_235,2,1958,46.7091,460,paradoxus
k141_4757,12,22648,83.6074,3146,mikatae
k141_1081,29,53665,93.1299,12579,castellii
k141_236,1,7052,107.592,2840,kluyveri
k141_241,1,4709,259.913,5027,cerevisiae
k141_11746,3,25175,823.884,166314,gossypii
k141_6364,44,56794,83.6424,14713,mikatae
k141_9059,3,7226,56.7999,1196,paradoxus
k141_9063,1,2882,107.692,242,uvarum
k141_3808,27,36875,79.4323,9767,mikatae
k141_9067,3,8782,332.239,4951,cerevisiae
k141_10817,91,113393,75.5607,26768,waltii
k141_6365,7,14878,100.931,3306,mikatae
k141_4760,14,34651,75.346,4857,uvarum
k141_6366,1,3481,49.8076,396,paradoxus
k141_244,21,27844,77.1297,5449,uvarum
k141_6373,1,1376,10.9021,25,kudriavzevii
k141_248,2,1745,10.469,36,kudriavzevii
k141_4761,3,7650,78.0237,1851,wickerhamii
k141_7310,65,106905,142.677,64874,lactis
k141_1083,22,42840,78.4987,6807,mikatae
k141_4766,1,1154,42.4303,159,paradoxus
k141_2841,39,74525,79.4371,25792,lactis
k141_2844,1,4113,93.0028,922,mikatae
k141_8245,58,96444,86.2702,28405,waltii
k141_10818,6,10341,282.471,4632,cerevisiae
k141_9941,30,48480,83.7756,8896,uvarum
k141_9942,1,1621,49.0714,213,paradoxus
k141_3809,17,32549,57.7177,5569,paradoxus
k141_9947,1,1076,11.7149,92,kudriavzevii
k141_3813,1,1568,56.5797,155,paradoxus
k141_10821,2,9875,78.5132,2566,lactis
k141_3815,1,1862,70.2728,502,paradoxus
k141_1085,5,10046,88.96,4768,mikatae
k141_5603,34,48198,82.2188,10675,waltii
k141_2847,1,4875,55.618,89,gossypii
k141_7311,7,10614,300.174,6241,cerevisiae
k141_11747,21,39598,74.4608,5598,uvarum
k141_4771,4,6528,95.9719,1004,uvarum
k141_11751,1,1099,9.13909,21,kudriavzevii
k141_4775,3,4012,52.7778,997,paradoxus
k141_5604,4,10984,78.4633,1536,mikatae
k141_7313,2,6987,291.248,4421,cerevisiae
k141_2013,50,71811,82.7134,17207,waltii
k141_5606,5,9522,53.8616,1429,paradoxus
k141_7315,4,11005,67.1466,1749,paradoxus
k141_9069,16,38412,85.4648,7365,mikatae
k141_10822,9,14851,61.0367,4267,paradoxus
k141_4783,1,2516,301.769,1088,cerevisiae
k141_5608,1,1274,107.415,177,paradoxus
k141_9072,7,9565,81.2381,1151,uvarum
k141_4785,4,6704,59.1009,1413,paradoxus
k141_4787,10,11320,277.207,9739,cerevisiae
k141_11752,20,24852,289.252,21155,cerevisiae
k141_1088,19,30060,76.4674,6470,mikatae
k141_7318,8,11591,89.9047,3657,waltii
k141_13544,52,94071,84.7587,21851,mikatae
k141_7320,1,1975,45.2268,85,kudriavzevii
k141_7321,3,5698,80.1433,891,uvarum
k141_1089,10,10966,63.3473,298,gossypii
k141_13547,4,6187,62.4202,988,paradoxus
k141_2848,26,45868,83.1413,8270,mikatae
k141_2015,14,33013,86.7829,5391,stipitis
k141_3816,27,49502,270.118,38781,cerevisiae
k141_5609,25,35051,84.5114,9107,waltii
k141_3819,3,3258,162.566,688,mikatae
k141_13549,10,6316,91.9066,3728,waltii
k141_2019,1,2901,46.3319,352,paradoxus
k141_7322,8,10147,58.9343,2404,paradoxus
k141_13558,2,1351,13.229,16,kudriavzevii
k141_7324,1,5082,53.9317,503,paradoxus
k141_2852,4,11817,125.578,4639,kluyveri
k141_13561,1,4694,61.4606,603,paradoxus
k141_13565,2,1545,14.3943,45,kudriavzevii
k141_2856,6,9390,79.3684,1879,mikatae
k141_7328,3,14606,86.9752,2782,mikatae
k141_249,50,85728,88.2814,24040,paradoxus
k141_3821,6,11225,57.1905,1565,paradoxus
k141_3823,0,3072,93.4452,262,uvarum
k141_3825,1,2047,186.766,1924,Unmapped
k141_4790,23,40353,104.03,17929,kluyveri
k141_4792,1,3041,108.059,904,kluyveri
k141_10825,51,67456,82.7048,15679,uvarum
k141_10827,1,1755,11.7819,23,kudriavzevii
k141_9948,54,90443,85.7206,18246,stipitis
k141_9949,2,4019,71.7663,467,uvarum
k141_2020,14,30976,78.8907,3756,uvarum
k141_250,5,7794,51.4908,1309,paradoxus
k141_2021,0,1634,291.836,1122,cerevisiae
k141_2859,3,12897,279.483,10377,cerevisiae
k141_2022,1,1261,15.5401,25,kudriavzevii
k141_13567,12,20188,57.7321,4244,paradoxus
k141_254,2,2729,79.729,313,mikatae
k141_12644,129,152523,87.1397,56069,waltii
k141_2867,1,1346,12.6706,58,kudriavzevii
k141_13571,2,2542,44.2467,768,paradoxus
k141_12646,0,2279,215.273,851,kluyveri
k141_2870,3,3219,48.913,1010,paradoxus
k141_13572,6,16257,105.894,2670,castellii
k141_9073,33,73317,136.21,27717,lactis
k141_9075,4,3958,185.402,2874,cerevisiae
k141_9077,2,1845,716.702,9044,waltii
k141_3835,15,22168,76.4512,5161,mikatae
k141_9080,2,2506,14.0297,84,kudriavzevii
k141_9081,2,1146,8.46787,36,kudriavzevii
k141_9083,2,3109,186.931,1200,cerevisiae
k141_9084,2,1198,8.26431,33,kudriavzevii
k141_5613,31,56381,74.8745,11993,mikatae
k141_3838,7,9003,85.4666,2429,lactis
k141_3844,0,1260,11.4216,13,kudriavzevii
k141_13576,2,4488,275.417,3275,cerevisiae
k141_7329,19,47130,88.4067,12494,castellii
k141_260,19,34968,95.1201,7255,castellii
k141_1091,49,80448,239.173,51574,cerevisiae
k141_7331,4,9198,56.1386,1437,paradoxus
k141_10829,30,49009,198.322,24219,cerevisiae
k141_3849,5,6686,675.517,10793,lactis
k141_5616,10,15806,73.3549,2107,uvarum
k141_9086,19,20296,55.2645,3992,paradoxus
k141_5618,0,1317,10.6967,21,kudriavzevii
k141_3850,2,3502,69.0743,937,paradoxus
k141_6377,108,144473,78.6535,51051,lactis
k141_9088,5,10906,82.2761,1449,uvarum
k141_9090,1,1803,57.7175,510,uvarum
k141_2024,39,53379,98.8758,23050,kluyveri
k141_10830,0,8093,74.4111,1457,mikatae
k141_262,14,21932,86.0552,6159,castellii
k141_2026,15,15079,89.3882,6316,waltii
k141_9951,25,58844,73.2863,7863,uvarum
k141_9093,3,5312,70.7073,737,uvarum
k141_9098,0,3521,63.8318,474,paradoxus
k141_5619,21,26204,82.2697,7174,mikatae
k141_8247,81,173601,93.2482,42299,castellii
k141_9099,8,8351,50.0984,2571,paradoxus
k141_6381,19,28532,108.004,8619,castellii
k141_8250,0,1031,110.402,53,stipitis
k141_8251,3,8840,113.329,3077,kluyveri
k141_2029,5,8422,53.9157,1001,paradoxus
k141_13579,37,62930,74.0154,10336,uvarum
k141_1095,29,43653,152.451,17993,mikatae
k141_2872,53,78542,80.8901,18283,mikatae
k141_9105,5,10816,59.2976,1345,paradoxus
k141_265,19,35366,107.206,15092,kluyveri
k141_2030,12,21305,63.6756,3811,paradoxus
k141_10832,21,32078,77.2775,5950,uvarum
k141_8253,2,3411,12.509,34,kudriavzevii
k141_10834,0,1917,163.889,237,mikatae
k141_9113,5,7787,77.6203,2410,mikatae
k141_10835,6,9637,54.6799,1353,paradoxus
k141_9114,1,5112,122.716,2451,mikatae
k141_10836,4,3929,73.1794,761,paradoxus
k141_10840,0,1102,125.96,50,paradoxus
k141_10841,2,1364,8.84432,20,kudriavzevii
k141_9124,2,2884,37.8288,40,Unmapped
k141_2031,5,7279,51.9015,1458,paradoxus
k141_1096,14,22292,82.7667,6538,mikatae
k141_2032,2,1695,7.65696,20,kudriavzevii
k141_268,9,10995,55.4218,2087,paradoxus
k141_13583,14,19789,104.522,10328,kluyveri
k141_13587,0,4534,553.378,3691,uvarum
k141_13592,4,3826,126.91,1169,kluyveri
k141_271,15,14681,101.223,8033,kluyveri
k141_13594,1,1541,68.4968,110,uvarum
k141_273,4,2106,10.9162,29,kudriavzevii
k141_274,0,1980,305.931,826,mikatae
k141_13596,3,5757,109.123,3561,kluyveri
k141_5623,28,49402,168.904,15564,cerevisiae
k141_5624,7,6088,101.973,2663,kluyveri
k141_5625,1,6232,427.917,2621,cerevisiae
k141_9126,11,24797,76.8534,3990,mikatae
k141_5628,4,5120,58.5284,1002,paradoxus
k141_10842,9,34200,88.029,5569,stipitis
k141_7333,71,96240,79.2025,24975,waltii
k141_1097,26,43470,76.1085,6957,uvarum
k141_13599,17,22372,80.6649,4327,uvarum
k141_12647,121,154206,83.6771,38855,stipitis
k141_13603,0,1648,13.9546,40,kudriavzevii
k141_9130,12,12628,63.7885,2925,paradoxus
k141_9131,5,11673,60.5978,1533,paradoxus
k141_9134,1,1141,10.1564,22,kudriavzevii
k141_9954,73,103028,74.5476,32694,lactis
k141_9137,2,2905,51.4672,418,paradoxus
k141_9139,1,1865,639.216,1312,cerevisiae
k141_276,14,33147,76.7806,7016,mikatae
k141_13606,6,4752,60.3796,1478,paradoxus
k141_7334,12,22815,322.869,14676,cerevisiae
k141_7335,0,1002,1324.64,5700,Unmapped
k141_1099,9,17135,314.903,10102,cerevisiae
k141_13607,5,10211,83.7779,2373,castellii
k141_1108,3,4687,328.881,3787,cerevisiae
k141_1109,6,4721,63.3953,777,paradoxus
k141_284,11,19667,57.7779,3667,paradoxus
k141_5637,24,38122,99.6614,18283,kluyveri
k141_4794,155,196086,85.0972,61739,waltii
k141_6384,61,112092,83.2352,27884,mikatae
k141_6385,0,1224,385.4,126,cerevisiae
k141_3852,99,149514,85.4887,35516,stipitis
k141_3854,2,2121,91.0944,263,mikatae
k141_9957,17,26268,103.353,10568,kluyveri
k141_9958,1,1366,245.192,409,cerevisiae
k141_3858,1,1599,11.6149,35,kudriavzevii
k141_3859,0,1121,129.094,534,paradoxus
k141_7336,16,27034,284.526,19063,cerevisiae
k141_7340,1,1200,50.8314,146,paradoxus
k141_4799,0,1247,13.4667,10,kudriavzevii
k141_13612,9,28844,93.0509,6732,castellii
k141_7341,8,11325,56.0585,2471,paradoxus
k141_11753,163,268218,49.2196,6706,gossypii
k141_2873,85,124579,76.7944,35808,lactis
k141_2875,1,1681,14.1894,29,kudriavzevii
k141_11759,0,1388,12.954,23,kudriavzevii
k141_285,19,28609,80.6969,5555,uvarum
k141_8255,81,112792,75.9348,19297,uvarum
k141_3862,8,8130,103.152,1935,paradoxus
k141_8259,4,4167,291.63,3771,cerevisiae
k141_9961,3,9856,60.9923,1212,paradoxus
k141_5640,10,31457,86.3949,4816,mikatae
k141_3864,4,11276,143.898,4729,paradoxus
k141_9141,34,50661,307.037,35807,cerevisiae
k141_9142,0,2283,346.134,1297,mikatae
k141_8261,9,15732,54.8339,2431,paradoxus
k141_2877,3,1259,117.833,173,uvarum
k141_7342,10,13711,138.805,4166,mikatae
k141_287,4,3354,52.5091,812,paradoxus
k141_11762,0,2501,50.892,850,paradoxus
k141_7346,4,9583,61.101,1426,paradoxus
k141_7347,0,1529,263.991,144,Unmapped
k141_297,5,10329,64.3586,1540,paradoxus
k141_13613,19,35564,79.2708,7193,mikatae
k141_13614,0,1331,87.6478,354,mikatae
k141_8264,1,1315,13.673,39,kudriavzevii
k141_9145,0,1452,59.7765,1584,pastoris
k141_4800,31,40465,84.2336,10699,stipitis
k141_9147,0,1271,118.5,56,kudriavzevii
k141_8270,4,2569,156.231,311,uvarum
k141_8271,2,1056,68.4073,71,uvarum
k141_8272,1,3838,243.431,2270,cerevisiae
k141_5647,16,24989,62.5258,4593,paradoxus
k141_9158,9,17269,57.807,2386,paradoxus
k141_9968,14,28274,133.824,19978,paradoxus
k141_9970,1,1032,13.2687,25,kudriavzevii
k141_7349,11,19437,306.008,13470,cerevisiae
k141_7350,2,5552,54.614,666,paradoxus
k141_5650,4,10379,59.895,2039,paradoxus
k141_9972,11,15168,305.68,10404,cerevisiae
k141_299,24,33828,95.2284,13830,kluyveri
k141_5652,9,9847,3371.07,32655,castellii
k141_4802,11,24647,128.209,14178,paradoxus
k141_3877,17,25690,104.014,10339,kluyveri
k141_3879,4,11361,55.3976,1400,paradoxus
k141_3880,6,5149,52.9706,1794,paradoxus
k141_4804,12,21489,83.8704,5432,mikatae
k141_6386,57,93382,86.046,26334,castellii
k141_11763,37,54868,105.103,15750,waltii
k141_7357,10,14916,101.472,4637,kluyveri
k141_300,3,8889,53.5284,1170,paradoxus
k141_301,0,1013,127.776,74,cerevisiae
k141_11766,1,1221,444.611,3948,cerevisiae
k141_6388,1,1625,695.995,768,cerevisiae
k141_6390,1,1809,10.2327,26,kudriavzevii
k141_6392,0,1071,12.1097,6,kudriavzevii
k141_11767,6,4854,274.44,3582,cerevisiae
k141_4808,5,12211,89.5892,1431,uvarum
k141_3882,9,14132,59.9249,3188,paradoxus
k141_11768,1,5523,72.0588,1373,mikatae
k141_4809,6,6491,99.2657,619,uvarum
k141_6396,6,6855,52.3623,1184,paradoxus
k141_3888,4,3612,379.38,696,stipitis
k141_4810,2,5843,58.2046,763,paradoxus
k141_6399,3,4428,62.9469,1133,paradoxus
k141_4815,0,1974,9.61732,18,kudriavzevii
k141_5653,22,46580,156.428,20687,paradoxus
k141_1113,66,117450,48.6518,2640,gossypii
k141_3894,2,1852,14.8766,37,kudriavzevii
k141_3895,2,5862,72.211,791,paradoxus
k141_9159,26,48324,74.9103,11774,lactis
k141_9161,2,1503,10.9608,47,kudriavzevii
k141_9166,0,1413,221.333,321,castellii
k141_13616,84,112890,108.055,49508,kluyveri
k141_13617,1,1011,9.91754,22,kudriavzevii
k141_13618,1,3660,116.779,1469,kluyveri
k141_6400,4,9322,56.7815,1231,paradoxus
k141_6401,6,9648,54.4081,1534,paradoxus
k141_6404,1,2010,12.3935,43,kudriavzevii
k141_11775,20,29372,139.026,7681,uvarum
k141_11777,1,5242,117.25,1069,wickerhamii
k141_9167,12,13408,75.7208,2677,uvarum
k141_13619,14,27674,101.069,12840,kluyveri
k141_1115,17,31027,59.3033,5227,paradoxus
k141_13622,2,4701,60.5322,613,paradoxus
k141_1116,3,5412,110.191,1401,mikatae
k141_1124,1,3381,53.4906,320,paradoxus
k141_1127,3,1559,9.77928,70,kudriavzevii
k141_2879,94,131917,78.264,29924,wickerhamii
k141_6407,9,11641,59.671,2537,paradoxus
k141_1131,5,2941,52.637,450,paradoxus
k141_6408,0,2185,61.8958,243,paradoxus
k141_11779,5,4159,65.6697,560,paradoxus
k141_4816,19,37657,81.5028,8282,uvarum
k141_7365,20,26861,104.682,15493,kluyveri
k141_13624,8,17272,295.871,12238,cerevisiae
k141_4817,0,4914,100.773,1863,kluyveri
k141_7366,7,5719,111.045,8615,kluyveri
k141_11782,11,15096,132.258,6454,kluyveri
k141_9973,97,166361,75.5238,46322,lactis
k141_2881,5,5522,53.3358,2131,lactis
k141_9171,8,13714,91.8458,2334,mikatae
k141_2883,3,2674,63.775,673,lactis
k141_2884,1,1202,11.75,15,kudriavzevii
k141_9173,1,4635,50.2789,910,paradoxus
k141_1134,8,12005,108.743,3271,kluyveri
k141_1136,1,1193,103.054,677,stipitis
k141_7367,5,10063,52.9781,1770,paradoxus
k141_9976,17,20877,110.959,9528,kluyveri
k141_7368,12,10470,86.3438,1977,mikatae
k141_7371,1,1009,87.3923,258,mikatae
k141_1137,13,12638,57.7143,3592,paradoxus
k141_1138,1,1368,61.9885,632,stipitis
k141_9979,5,14472,59.249,2119,paradoxus
k141_6410,7,18827,60.5253,3738,paradoxus
k141_9176,1,1512,77.3686,256,kluyveri
k141_9981,2,4307,327.777,2989,mikatae
k141_2888,2,4644,58.3278,611,paradoxus
k141_6414,4,6995,1736.58,23450,waltii
k141_9180,6,16249,87.9724,2338,stipitis
k141_9982,6,15128,87.9792,2873,mikatae
k141_303,64,102501,233.706,74324,cerevisiae
k141_6417,7,2971,321.722,2413,cerevisiae
k141_2889,3,4728,141.322,3708,cerevisiae
k141_2890,0,2234,198.804,426,castellii
k141_9983,2,11864,54.4447,2296,paradoxus
k141_9984,0,1102,136.47,92,cerevisiae
k141_1140,3,12976,76.1686,2032,uvarum
k141_7374,2,3262,55.0945,550,paradoxus
k141_9985,6,9490,65.3115,1626,paradoxus
k141_1144,2,2568,87.9111,1370,mikatae
k141_7376,2,4819,40791.4,505777,waltii
k141_1150,0,1942,43.7874,192,paradoxus
k141_1152,8,5915,91.7709,1070,uvarum
k141_305,6,9254,105.55,3424,kluyveri
k141_6419,6,9389,204.002,3230,cerevisiae
k141_9181,10,12062,215.521,9630,cerevisiae
k141_6420,0,1457,12.5685,44,kudriavzevii
k141_306,0,2718,247.723,737,paradoxus
k141_307,2,2840,115.164,590,kluyveri
k141_9986,0,6728,341.881,2211,uvarum
k141_9989,1,1526,267.02,246,uvarum
k141_308,4,10666,55.6149,1931,paradoxus
k141_2892,17,20928,90.4282,5135,mikatae
k141_3896,64,91120,97.9125,32812,kluyveri
k141_5655,67,103301,90.7849,25471,castellii
k141_9992,2,8327,54.5722,1458,paradoxus
k141_5656,2,2225,13.2872,27,kudriavzevii
k141_9994,2,1222,73.2677,187,paradoxus
k141_5660,1,1318,9.69264,47,kudriavzevii
k141_5661,0,1267,69.1925,164,paradoxus
k141_311,3,7932,108.297,4102,kluyveri
k141_1159,3,3654,87.1655,335,uvarum
k141_11783,38,62592,105.903,23052,kluyveri
k141_11784,0,2841,8001.25,27144,cerevisiae
k141_6424,3,5288,67.0631,866,paradoxus
k141_1162,2,6293,283.318,3060,cerevisiae
k141_1163,1,1130,1551.56,590,stipitis
k141_6425,2,5863,118.421,1165,uvarum
k141_6427,0,1420,70.6646,230,stipitis
k141_6428,1,1116,39.0797,221,paradoxus
k141_9997,16,14914,57.7567,2924,paradoxus
k141_10001,2,2670,49.9718,382,paradoxus
k141_9182,16,25534,81.7543,6684,mikatae
k141_11786,3,4884,377.012,5975,kluyveri
k141_9183,6,10173,70.5377,1975,paradoxus
k141_5675,1,2297,50.0829,225,paradoxus
k141_5678,2,1985,164.178,234,uvarum
k141_5679,2,1013,12.0243,23,kudriavzevii
k141_3898,16,24889,88.8229,5346,uvarum
k141_3899,3,2084,74.2141,577,mikatae
k141_314,16,20798,102.576,7911,kluyveri
k141_3901,1,2774,71.5572,1687,waltii
k141_3902,0,1886,41.7673,252,paradoxus
k141_317,0,1512,54.5169,452,paradoxus
k141_10009,6,7842,97.0004,2739,kluyveri
k141_10846,237,321782,83.9925,90557,waltii
k141_10012,6,10986,57.4361,1666,paradoxus
k141_10847,0,1410,11.4262,13,kudriavzevii
k141_13627,68,118332,71.201,19850,wickerhamii
k141_319,0,2352,60.2838,5155,pastoris
k141_4820,73,101963,81.9848,20336,uvarum
k141_11795,16,29075,310.187,20397,cerevisiae
k141_4821,6,9873,61.6852,1989,paradoxus
k141_10015,4,7139,63.3043,1058,paradoxus
k141_8273,183,316249,48.1169,6449,gossypii
k141_6429,15,30769,56.9992,4786,paradoxus
k141_2893,23,31417,76.7163,7645,waltii
k141_2894,2,1806,255.693,1713,cerevisiae
k141_8274,2,3391,69.4397,1262,wickerhamii
k141_320,16,24862,84.6829,5955,mikatae
k141_4824,7,13845,282.172,8521,cerevisiae
k141_8275,1,1009,10.3609,10,kudriavzevii
k141_321,0,1451,140.109,148,wickerhamii
k141_5686,20,37424,53.6068,840,gossypii
k141_8278,1,5196,58.8458,654,paradoxus
k141_8280,2,1434,133.755,157,uvarum
k141_13628,8,16963,86.5455,2347,uvarum
k141_13629,2,2862,91.5749,1299,mikatae
k141_1168,51,63305,99.9718,30874,kluyveri
k141_6433,1,1123,13.6382,21,kudriavzevii
k141_8281,16,18008,99.2872,4961,castellii
k141_10848,16,31728,85.6089,8475,castellii
k141_6434,1,1583,11.7851,40,kudriavzevii
k141_6436,1,1117,282.942,612,uvarum
k141_5688,2,1290,12.3465,61,kudriavzevii
k141_4825,1,2756,11.6992,46,kudriavzevii
k141_10017,9,14733,54.948,2816,paradoxus
k141_4828,2,3145,121.786,603,wickerhamii
k141_8283,6,11314,50.9368,1833,paradoxus
k141_3903,15,41884,112.078,19590,kluyveri
k141_2899,10,12768,54.6461,2215,paradoxus
k141_1172,2,1676,14.4063,46,kudriavzevii
k141_10024,4,9832,122.422,1785,stipitis
k141_11796,25,31662,52.8078,5703,paradoxus
k141_8284,22,29105,79.559,6315,mikatae
k141_6444,9,7906,55.836,2081,paradoxus
k141_13635,16,18690,104.154,10204,kluyveri
k141_5691,12,34246,83.0962,6740,mikatae
k141_1175,10,17082,68.2103,2821,paradoxus
k141_1178,1,1168,10.276,56,kudriavzevii
k141_8287,14,20857,300.615,17583,cerevisiae
k141_8289,7,18234,321.251,14817,cerevisiae
k141_13636,9,17450,88.3619,4331,mikatae
k141_13639,1,1427,1288.73,25078,cerevisiae
k141_5693,5,10336,78.9983,1547,mikatae
k141_7378,74,93407,83.5755,30083,waltii
k141_11799,16,36312,98.654,13215,castellii
k141_12648,280,377874,86.5934,98591,stipitis
k141_12649,0,1112,8.9948,9,kudriavzevii
k141_10027,28,43056,79.0156,11994,lactis
k141_5695,8,6389,94.0474,1485,uvarum
k141_12652,2,2444,62.8117,573,paradoxus
k141_11800,1,1010,12.4453,14,kudriavzevii
k141_4837,34,53833,74.9874,9506,wickerhamii
k141_9187,67,109494,73.0876,30940,lactis
k141_322,50,67790,85.2332,15359,mikatae
k141_4838,2,4594,89.1555,1908,kluyveri
k141_13642,18,24488,89.5974,4855,wickerhamii
k141_2904,29,56486,79.8931,10686,mikatae
k141_11802,9,23295,60.5171,3852,paradoxus
k141_8291,41,61989,84.3784,15701,waltii
k141_7382,16,20416,130.638,5685,kluyveri
k141_13644,0,7056,894.921,104994,wickerhamii
k141_7384,8,8915,111.143,3530,kluyveri
k141_9192,3,7616,79.6002,1088,uvarum
k141_12653,14,29982,90.7093,9769,castellii
k141_9196,0,1903,14.8973,22,kudriavzevii
k141_10030,22,36328,85.1582,6564,stipitis
k141_12656,5,5838,578.65,5920,stipitis
k141_10032,0,1414,28.1456,68,paradoxus
k141_1185,29,46452,81.2119,10476,mikatae
k141_9200,4,8580,102.345,4440,kluyveri
k141_1186,3,5192,104.586,1637,mikatae
k141_11803,5,9945,283.85,7208,cerevisiae
k141_4840,19,22185,54.7851,4382,paradoxus
k141_13645,3,7887,89.6515,1375,mikatae
k141_4847,1,5939,50.1549,862,paradoxus
k141_327,21,32671,239.954,22020,cerevisiae
k141_330,0,1953,426.466,8164,Unmapped
k141_4855,0,1324,69.7342,41,paradoxus
k141_1188,16,19359,57.7495,4831,paradoxus
k141_1189,2,1191,140.866,219,castellii
k141_12658,1,1429,48.9312,324,paradoxus
k141_12664,2,1338,17.2668,14,kudriavzevii
k141_7386,9,18536,54.9224,3461,paradoxus
k141_10849,61,93022,76.6176,30837,lactis
k141_9201,6,8337,57.9541,1546,paradoxus
k141_9205,0,1655,10.1834,18,kudriavzevii
k141_12674,3,8883,124.678,2116,castellii
k141_9212,1,1171,13.4378,21,kudriavzevii
k141_9214,0,1213,10.1646,12,kudriavzevii
k141_12675,2,2592,91.1654,940,waltii
k141_10034,18,24332,187.737,12340,Unmapped
k141_4856,5,7453,65.7965,1053,paradoxus
k141_1191,3,8839,60.4455,1308,paradoxus
k141_4870,1,1313,16.4858,30,kudriavzevii
k141_4874,1,1364,44.7331,90,paradoxus
k141_1198,0,3236,124.89,152,uvarum
k141_1201,2,6717,58.8725,983,paradoxus
k141_9216,0,1703,561.205,1121,cerevisiae
k141_10038,4,3446,15.8941,133,kudriavzevii
k141_8292,65,113732,75.2508,34586,lactis
k141_7388,15,27696,82.6766,4120,uvarum
k141_13646,17,28383,96.1104,7346,castellii
k141_7389,3,10058,72.858,2419,lactis
k141_7395,0,2995,97.6879,1700,waltii
k141_7397,1,1187,13.9547,36,Unmapped
k141_1202,2,10716,315.268,9389,cerevisiae
k141_1204,0,1101,99.8633,20,cerevisiae
k141_11804,35,57091,81.3656,13159,mikatae
k141_11806,2,3384,88.2777,423,uvarum
k141_11807,0,1963,60.4357,255,paradoxus
k141_332,29,52516,129.896,21129,kluyveri
k141_11810,10,11560,96.9341,5264,kluyveri
k141_13647,12,11626,87.3075,1660,uvarum
k141_13648,1,3148,61.0654,384,paradoxus
k141_8293,36,62358,86.1713,16185,castellii
k141_6446,62,98497,76.653,28980,lactis
k141_9226,15,23522,107.754,8208,kluyveri
k141_12679,34,50538,82.7809,15356,waltii
k141_12683,1,1136,10.2688,28,kudriavzevii
k141_7408,8,22428,75.4389,4381,mikatae
k141_9227,5,14737,77.6719,3111,mikatae
k141_8296,2,1605,14.1416,38,kudriavzevii
k141_13649,9,16716,61.0208,2486,paradoxus
k141_13650,3,3207,54.4462,854,paradoxus
k141_8300,3,8251,244.795,5029,cerevisiae
k141_13652,0,3337,1495.38,55710,kluyveri
k141_8301,4,3660,85.0946,1121,mikatae
k141_8302,0,2226,74.5,298,paradoxus
k141_7410,2,5846,549.617,3603,cerevisiae
k141_6447,15,20061,107.245,3889,stipitis
k141_8304,6,11437,85.9038,1757,uvarum
k141_8305,4,4781,77.0866,1006,mikatae
k141_8306,3,4616,4785.68,22389,cerevisiae
k141_12687,20,29251,81.5946,7189,uvarum
k141_12688,0,1753,49.3319,218,paradoxus
